"","Handle","LevDistance","LevMatchCount","IntersectionalityScore","DDNADistance","APUScore","SADScore","GrantOwner","IPsSharedRatio","IPsUsedCount","IPsSharedCount","MetaRank_Loki","MetaRank_Thor"
"475","kiritodais",4,0,3,0.2,0.15,0,0,0,5,0,0.677460659900939,0.819825364827144
"476","yukit0n",3,0,4,0.18,0.1,1,0,0,1,0,0.626905892235969,0.770777689312019
"477","thebenmeadows",5,0,5,0.25,0.08,0,0,0,2,0,0.739388213199959,0.879906790970469
"478","bickyrauniyar",5,0,2,0.12,0.18,0,0,0,6,0,0.652714859702662,0.795817263622315
"479","patratwitter",4,0,4,0.52,0.11,0,0,0,34,0,0.686932161003878,0.829014510266734
"480","anhsojack",4,0,4,0,0.21,0,0,0,5,0,0.638907265817038,0.782421289002577
"481","rijulraj456",5,0,3,0.28,0.08,0,0,0,17,0,0.646116626345207,0.789415730717759
"482","0xanothermike",5,0,2,0.24,0.25,1,0,0,1,0,0.681560062160364,0.823802559483812
"483","jordanlyall",3,0,4,0.38,0.46,0,0,0,3,0,0.728587753011499,0.869428304149044
"484","keehan92",2,0,2,0.25,0.25,0,0,0,3,0,0.606781377500044,0.75125310806563
"485","maxlevush-coinside",8,0,2,0.14,NA,0,0,0,1,0,0.775124602039807,0.76412958163225
"486","shivamsdhn",3,0,3,0.2,0.2,0,0,0,4,0,0.656957828345048,0.799933744793225
"487","elsaicequeen",5,0,3,0.33,0.23,0,0,0,3,0,0.749445620352281,0.889664375968182
"488","hamedhampop332",7,0,2,0.25,0.1,1,0,0,2,0,0.620610312334486,0.764669787437486
"489","liangting12333",3,0,4,0.18,0.08,1,0,0,1,0,0.614169225963786,0.758420716798518
"490","armanderete",3,0,1,0.62,0.1,0,1,0,13,0,0.644624700014163,0.787968280319757
"491","wudingroad1145",7,0,0,0.5,0,0,0,0,1,0,0.662347387964869,0.80516263582788
"492","skyforthdoteth",5,0,4,0.61,0.18,1,0,0,3,0,0.705054506723369,0.846596609314503
"493","new-yorkc",3,0,4,0.22,0.23,1,0,0,3,0,0.622449514105397,0.766454160619938
"494","benjix21",2,0,4,0.4,0,0,0,0,2,0,0.621046831742139,0.765093293730789
"495","redvineblaze",5,0,3,0.24,0.06,1,0,0,1,0,0.647837482854488,0.791085286638471
"496","muginoka",3,0,3,0.47,0.15,1,0,0,1,0,0.661293921127733,0.804140573973374
