"","Handle","LevDistance","LevMatchCount","IntersectionalityScore","DDNADistance","APUScore","SADScore","GrantOwner","IPsSharedRatio","IPsUsedCount","IPsSharedCount","MetaRank_Loki","MetaRank_Thor"
"1239","kendylhkervin",6,0,1,0.2,0.1,1,0,0,1,0,0.614004318632006,0.758260725532159
"1240","dikarrodikarro",6,0,3,0.04,0.08,1,0,0,1,0,0.625198616330482,0.769121309142654
"1241","kinsonfjulian",5,0,1,0.25,0.1,1,0,0,1,0,0.613137100075469,0.75741935969613
"1242","chih-po-hung",4,0,4,0.15,0.1,0,0,0,16,0,0.640857052504554,0.784312950445999
"1243","surendramorye",4,0,1,0.36,0.13,0,0,0,11,0,0.615897842818092,0.76009780172
"1244","twofire321",4,0,4,0.2,0.13,0,0,0,1,0,0.76730605442718,0.90699237123997
"1245","doyourselfs",4,0,1,0,0.18,0,0,0,1,0,0.616551651886443,0.760732120034859
"1246","trantam18",3,0,4,0.17,0.18,1,0,0,2,0,0.619343436009165,0.763440678061809
"1247","mashagalkanova",5,0,3,0.06,0.18,1,0,0,1,0,0.663129242726132,0.805921182655441
"1248","nguyen1122000",4,0,4,0.11,0.16,1,0,0,1,0,0.676899974972887,0.819281394521523
"1249","menghanwang",3,0,4,0,0.13,0,0,0,2,0,0.614687228994201,0.758923277599905
"1250","bryanhan65",3,0,4,0.28,0.16,1,0,0,2,0,0.637304754569388,0.780866550343605
"1251","ice175",2,0,4,0.41,0.21,1,0,0,1,0,0.65281380410173,0.795913258382131
"1252","izzahgitcoin",4,0,4,0.32,0.26,1,0,0,33,0,0.624783437871648,0.768718507601467
"1253","poezdec",3,0,4,0.24,0.11,0,0,0,10,0,0.642368379698161,0.785779223345926
"1254","akihiro02",3,0,3,0.22,0.28,0,0,0,3,0,0.678069846985397,0.820416391387576
"1255","ozgurgungor333",7,0,4,0.31,0.1,0,0,0,7,0,0.723710376163324,0.8646963271652
"1256","name-namekosan",6,0,3,0.18,0.1,1,0,0,2,0,0.631459274679352,0.775195330513723
"1257","ruhul7",3,0,4,0.12,0.11,0,0,0,5,0,0.635657621337845,0.779268519930206
"1258","kaptankabasakal",6,0,3,0.22,0.16,0,1,0.07,14,1,0.683389563499993,0.825577521415302
"1259","patilsujan",3,0,3,0.36,0.23,0,0,0,18,0,0.649123760042371,0.792333218516072
"1260","oleshuk2341",5,0,3,0.29,0.15,1,0,0,1,0,0.704499642054086,0.84605828575946
"1261","shenghanteng",3,0,1,0.44,0.03,0,0,0,1,0,0.62324688955671,0.767227765449039
"1262","finger0xsmith",5,0,2,0.25,0.11,1,0,0,1,0,0.655221451145718,0.798249130870974
"1263","foozee26",3,0,2,0.38,0.15,0,0,0,2,0,0.666223680304826,0.808923371712415
"1264","aalluro",2,0,3,0.09,0.21,0,0,0,2,0,0.61291010998349,0.757199136423612
"1265","tshwangq",2,0,4,0.29,0.11,0,0,0,6,0,0.619143607124773,0.763246806291986
"1266","carstenpoetter",5,0,4,0.5,0.1,0,0,0,16,0,0.704268771789594,0.845834297986557
"1267","xuebengk",3,0,4,0,0.23,0,0,0,1,0,0.672389274427141,0.814905162824053
"1268","yukkysan",3,0,3,0.43,0.34,1,0,0,4,0,0.617186060092232,0.761347615847794
"1269","mahanalexandar",4,0,2,0.21,0.1,1,0,0,1,0,0.614850196239725,0.759081386616072
"1270","arifkhanrt",4,0,4,0.24,0.1,0,0,0,46,0,0.646134087121513,0.789432670969491
"1271","solcoder480",4,0,4,0.17,0.1,1,0,0,1,0,0.661489869839613,0.804330681242812
"1272","sufidyanov",4,0,2,0.15,0.13,1,0,0,1,0,0.622094478320506,0.766109708834718
"1273","jordan122221",4,0,3,0,0.15,0,0,0,1,0,0.668941741149812,0.811560404232051
"1274","airdropcryptotrend",8,0,2,0,0.21,1,0,0,1,0,0.612103034100896,0.756416120343548
"1275","wisewisewise85768",9,0,2,0,0.25,1,0,0,1,0,0.61671267904571,0.760888346800834
"1276","gitpishon",3,0,4,0.14,0.18,1,0,0,2,0,0.613748227246183,0.758012268506754
"1277","praslaanish",4,0,3,0.14,0.13,0,0,0,1,0,0.728230777140352,0.869081970113631
"1278","ashujerry1",4,0,4,0.26,0.1,0,0,0,17,0,0.662110697441608,0.804933001304399
"1279","suttisakonline",5,0,3,0.11,0.25,0,0,0,11,0,0.672715208918188,0.815221380856386
"1280","avocatt",2,0,4,0.1,0.2,0,0,0,1,0,0.677115324547329,0.819490324292886
"1281","ygbr-pub",4,0,2,0.27,0.1,0,0,0,3,0,0.650476000162967,0.793645146900216
"1282","nm55661122",5,0,2,0.22,0.1,1,0,0,1,0,0.637642329577973,0.781194061877093
"1283","klasik1980",3,0,3,0,0.11,0,0,0,1,0,0.618383093312329,0.762508964216542
"1284","khalenkovdima",6,0,3,0.12,0.13,1,0,0,1,0,0.67634705038986,0.818744953216672
"1285","crystalmath404",6,0,2,0.16,0.21,0,0,0,3,0,0.698043034993336,0.839794157118953
"1286","takeyan-69",4,0,2,0.14,0.16,1,0,0,1,0,0.629142811689408,0.772947923783925
"1287","ammd-msm",3,0,3,0.11,0.2,0,0,0,4,0,0.635548976507496,0.779163113919428
"1288","juafrapat",3,0,4,0.39,0.36,0,0,0,24,0,0.679998292724095,0.822287348078881
"1289","bonniewood8300",7,0,3,0,0.16,1,0,0,1,0,0.631337049245209,0.775076748751598
"1290","jkboss",2,0,4,0.25,0.31,0,0,0,28,0,0.616219897136627,0.760410255251949
"1291","agnostik3301",6,0,3,0.55,0.23,0,0,0.21,14,3,0.609227826269156,0.753626625558322
"1292","dydymoon",3,0,4,0.37,0.41,0,0,0,10,0,0.693906771095043,0.835781199708628
"1293","gachidahoruo",5,0,4,0.11,0.25,1,0,0,5,0,0.640692145172774,0.78415295917964
"1294","zhegufeile",4,0,3,0.18,0.15,0,0,0,8,0,0.659984362904775,0.802870055093463
"1295","priyankchopra",5,0,3,0.47,0.05,0,0,0,5,0,0.67816103103944,0.820504857146622
"1296","sancaksemihh",5,0,4,0.25,0.1,1,0,0,8,0,0.61743439113303,0.761588543872429
"1297","phillippruiz229",7,0,1,0.18,0.1,1,0,0,1,0,0.614743491495632,0.758977862855487
"1298","moshang20210707",6,0,4,0.21,0.13,1,0,0,7,0,0.644706183636924,0.78804733482784
"1299","limsenkeat",3,0,4,0.12,0.13,0,0,0,8,0,0.630407747928473,0.774175150909409
"1300","2ntheway",3,0,3,0,0.13,0,0,0,1,0,0.626236562477568,0.77012831299562
"1301","ilak24900",4,0,2,0.12,0.2,1,0,0,1,0,0.630110914731269,0.773887166629963
"1302","josedeuwu-sudo",7,0,4,0.36,0.21,0,0,0.19,27,5,0.612824746188215,0.757116317415143
"1303","zhekinmaksim",4,0,4,0.14,0.18,1,0,0,6,0,0.614619325975233,0.758857398843169
"1304","cedar-tabac",4,0,3,0.2,0,1,0,0,1,0,0.608671021513617,0.753086419753086
"1305","nimawuhu",3,0,4,0.11,0.1,1,0,0,1,0,0.60986999481997,0.754249650372027
"1306","powerkissing",4,0,2,0.16,0.29,0,0,0,13,0,0.633443982919481,0.777120872460609
"1307","funpanchan",3,0,1,0.03,0.15,0,0,0,1,0,0.61269864058156,0.756993971152634
"1308","toriniku1231",4,0,2,0.29,0.2,1,0,0,3,0,0.610147427154611,0.754518812149549
"1309","kenleyble",3,0,4,0.07,0.15,1,0,0,1,0,0.625953309884157,0.769853504467521
"1310","ajidazadi63",5,0,2,0.29,0.1,1,0,0,1,0,0.648743503136149,0.791964297478349
"1311","ejrv78",3,0,4,0.39,0.08,0,0,0,29,0,0.618937957981612,0.763047287771585
"1312","zhouhaixiang0918",6,0,3,0,0.16,1,0,0,1,0,0.62622492196003,0.770117019494465
"1313","ddobrij",3,0,3,0.41,0.16,1,0,0,1,0,0.662428871587631,0.805241690335963
"1314","junoware",3,0,3,0.62,0.2,0,1,0.05,21,1,0.646023502204908,0.78932538270852
"1315","sedndidameda",5,0,4,0,0.18,1,0,0,1,0,0.645356112532763,0.788677888642314
"1316","jephthahbuabin",6,0,4,0.25,0.11,1,0,0,2,0,0.684386767835698,0.826544998014226
"1317","yoshiyoshi0120",5,0,4,0.1,0.28,1,0,0,3,0,0.655564846413072,0.798582289155039
"1318","qmreg225",2,0,4,0.32,0.11,1,0,0,1,0,0.618569341592927,0.762689660235018
"1319","yankeetsao",4,0,4,0.15,0.28,0,0,0.14,7,1,0.61165293408945,0.755979438298898
"1320","nortonttt",3,0,2,0.27,0.21,0,0,0,1,0,0.704559784728029,0.846116635515426
"1321","lqh654360884",6,0,4,0.12,0.13,0,0,0.12,8,1,0.610110565515743,0.754483049395892
"1322","qbejaminjoss",5,0,1,0.25,0.1,1,0,0,1,0,0.613137100075469,0.75741935969613
"1323","chunchaolee",4,0,4,0.21,0.13,0,0,0,7,0,0.69153792577618,0.833482972223634
"1324","nigel86",2,0,4,0.15,0.16,0,0,0,3,0,0.631905494518286,0.775628248057988
"1325","zzx02",2,0,4,0.38,0.13,0,0,0,1,0,0.710965949546117,0.852331825650929
"1326","primoppw",3,0,2,0.67,0.18,1,0,0,2,0,0.606317696884804,0.750803250269632
"1327","jga422885",4,0,3,0.14,0.21,1,0,0,2,0,0.629511428078092,0.773305551320493
"1328","contessalouise",6,0,1,0.33,0.15,1,1,0,1,0,0.738247442481293,0.878800027857303
"1329","rust1ncohl3",5,0,1,0.33,0.11,1,0,0,1,0,0.636778991193948,0.780356460541448
"1330","billiescruggs5761",9,0,2,0,0.18,1,0,0,1,0,0.608486713319274,0.752907605984803
"1331","nurik9210",3,0,3,0.2,0.16,0,0,0,4,0,0.650937740691951,0.794093122446022
"1332","holdtodie68",4,0,4,0.22,0.18,0,0,0,2,0,0.746733379766064,0.887032990199123
"1333","semamainco",4,0,4,0.38,0.1,0,0,0,4,0,0.71008321029953,0.85147540181336
"1334","bartonpixel",4,0,4,0.25,0.1,1,0,0,4,0,0.616037529028541,0.760233323733857
"1335","billyjitsu",3,0,4,0.58,0.36,0,0,0,4,0,0.728591633184011,0.869432068649429
"1336","yegokoglu",4,0,2,0.1,0.13,0,0,0,1,0,0.686567424787706,0.828660647230551
"1337","duongmanhhung90",6,0,3,0,0.18,0,0,0,6,0,0.633736935944172,0.777405092239671
"1338","marmaris1978",4,0,3,0.25,0.15,1,0,0,1,0,0.677509162057345,0.819872421081955
"1339","thebigroach",4,0,3,0,0.18,0,0,0,5,0,0.607510849932388,0.751960834137995
"1340","whalesslayer",4,0,4,0.26,0.11,1,0,0,2,0,0.655058483900194,0.798091021854807
"1341","satnyp",2,0,3,0.55,0.21,0,0,0,2,0,0.673272013673728,0.815761586661622
"1342","shixiangzhang",4,0,2,0.12,0.11,0,0,0,1,0,0.685234585529673,0.827367541348331
"1343","savastalan07",4,0,3,0.19,0.18,0,0,0,1,0,0.75097634840845,0.891149471370033
"1344","osmanemraheroglu",6,0,3,0.33,NA,0,0,0,6,0,0.780700409940226,0.76953916868538
"1345","haplo",2,0,1,0.48,0.25,0,0,0,1,0,0.651723475625726,0.794855433773968
"1346","katsumotoeth",3,0,4,0.4,0.34,0,0,0,6,0,0.708137303784526,0.849587504870322
"1347","samsunlu555",4,0,4,0,0.25,1,0,0,1,0,0.632470059618851,0.776175982863994
"1348","charlie-witter",3,0,4,0.67,0.23,0,0,0,3,0,0.732951007001771,0.873661484831887
"1349","herotruck",3,0,3,0.17,0.2,1,0,0,1,0,0.633599189819979,0.777271452476006
"1350","dev-nicolaszn",5,0,5,0.4,0.2,0,0,0,6,0,0.768722317394231,0.908366413880466
"1351","zicodoteth",2,0,4,0.22,0.11,0,0,0,1,0,0.682411760026851,0.824628867318302
"1352","sezaras85",3,0,2,0.31,0.11,1,0,0,1,0,0.605491220139647,0.750001411687644
"1353","haraslub",2,0,4,0.39,0.33,0,0,0,3,0,0.683599092815667,0.825780804436087
"1354","ibrahimyldrm1001",6,0,4,0.32,0.11,1,0,0,2,0,0.693889310318737,0.835764259456895
"1355","danette1111",4,0,3,0.52,0.1,1,0,0,1,0,0.675309104242775,0.817737949363705
"1356","panheadan",3,0,4,0.32,0.16,1,0,0,1,0,0.680318406956373,0.822597919360637
"1357","laptiev-dmytro",7,0,3,0.14,NA,0,0,0,2,0,0.788658643763302,0.777260158974851
"1358","efndfmwmuvuv3xp",10,0,2,0.1,0,0,0,0,4,0,0.612081693152077,0.756395415591431
"1359","nafidurmus",4,0,4,0.38,0.13,0,1,0,29,0,0.76585292982126,0.905582565845817
"1360","nfrgosselin",4,0,3,0.65,0.18,0,1,0.21,19,4,0.640924955523523,0.784378829202735
"1361","jesiigh",3,0,4,0.14,0.33,0,0,0,33,0,0.63708746490869,0.780655738322049
"1362","tarasowitalii",6,0,2,0,0.15,0,0,0,3,0,0.617302465267606,0.761460550859341
"1363","cubicus55",4,0,4,0.12,0.08,0,1,0,157,0,0.682879320814603,0.825082489614685
"1364","provodag",3,0,3,0.16,0.25,0,0,0,10,0,0.628737333661855,0.772554533493701
"1365","hans1meiser",4,0,3,0.12,0.15,0,0,0,1,0,0.728634315081649,0.869473478153663
"1366","siddhearta",2,0,4,0.38,0.11,1,0,0,1,0,0.624544807262131,0.768486990827795
"1367","onderfehmi",4,0,3,0.38,0.15,0,0,0,1,0,0.771554843328334,0.911114499161458
"1368","hihihihi222",4,0,3,0.05,0.25,1,0,0,2,0,0.610677070702563,0.75503266645209
"1369","hardcoregamer84",5,0,4,0.5,NA,1,0,0,1,0,0.803818477769522,0.791968061978734
"1370","llporzall",3,0,4,0.15,0.23,0,0,0,31,0,0.634761301487464,0.77839892034129
"1371","jubilegus",3,0,4,0.14,0.2,0,0,0,59,0,0.623603865427857,0.767574099484452
"1372","wafer102",3,0,4,0.29,NA,0,0,0,1,0,0.807576424847849,0.79561398060153
"1373","intldds",3,0,3,0.77,0.29,0,1,0,20,0,0.742781424062114,0.883198846557082
"1374","kennyxseven",4,0,3,0.31,0.21,1,0,0,2,0,0.660533407315289,0.803402731897929
"1375","maruo1119",3,0,2,0.27,0.15,1,0,0,1,0,0.613608541035734,0.757876746492897
"1376","saristiz5",3,0,2,0.5,0.26,1,0,0,1,0,0.649366270824401,0.792568499790129
"1377","torlak78",3,0,4,0.15,0.29,0,0,0,47,0,0.635669261855382,0.779279813431361
"1378","greengeorgeeth",5,0,4,0.14,0.13,1,0,0,1,0,0.69721655824818,0.838992318536965
"1379","puzzleyrs",3,0,4,0.2,0.16,1,0,0,1,0,0.661059170690729,0.803912821700086
"1380","poomaramboy3",5,0,1,0.67,NA,0,0,0,1,0,0.800720160018314,0.788962108421376
"1381","kajirimushiii",5,0,2,0.05,0.15,1,0,0,1,0,0.624034564576741,0.767991959027178
"1382","nisarahot",3,0,4,0.06,0.11,0,0,0,1,0,0.689039094678149,0.831058633975745
"1383","dekaikanzou",4,0,3,0.19,0.25,1,0,0,1,0,0.68063464101614,0.822904726142008
"1384","m0niquesullivanxoxo",10,0,1,0.4,0.15,1,1,0,2,0,0.715798704410398,0.857020510880347
"1385","terryypowell00",6,0,1,0.08,0.16,1,0,0,1,0,0.615397300563983,0.759612181170346
"1386","rahul-dev9041",5,0,1,0.13,0.18,0,0,0,8,0,0.618111481236456,0.762245449189597
"1387","liuhuiboy",2,0,3,0.44,0.1,0,0,0,3,0,0.615331337631271,0.759548184663802
"1388","tenkubashi1111",7,0,3,0.06,0.1,1,0,0,1,0,0.645771290991597,0.789080690183501
"1389","syedasadkazmi",5,0,0,0.43,0,0,0,0,1,0,0.643291860756129,0.786675174437537
"1390","mashahealy",3,0,3,0.3,0.15,0,0,0,4,0,0.664114806544299,0.806877365753211
"1391","zxc1dai",3,0,4,0.23,0.28,0,0,0,10,0,0.672381514082116,0.814897633823283
"1392","brandoniles",2,0,3,0.29,0.28,0,0,0,5,0,0.629270857382319,0.773072152296628
"1393","jesmrie",2,0,3,0.43,0.26,0,0,0,3,0,0.657095574469241,0.80006738455689
"1394","convose",2,0,4,0.24,0.29,0,0,0,5,0,0.647971348806168,0.79121516190175
"1395","ritsu-cyan",2,0,3,0.35,0.33,0,0,0,1,0,0.707425292128488,0.84889671904969
"1396","x-i-x-a",3,0,4,0.67,0.1,0,0,0,5,0,0.67745483964217,0.819819718076566
"1397","cryptomama460",4,0,3,0.19,0.08,1,0,0,1,0,0.626578017658665,0.770459589029493
"1398","goalgoalgoalgoal",8,0,2,0.25,0.11,1,0,0,1,0,0.673545565835857,0.816026983938759
"1399","watertim",2,0,4,0.18,0.41,0,0,0,13,0,0.615472963927976,0.759685588927851
"1400","nishiyama56",4,0,4,0.27,0.25,1,0,0,1,0,0.723044926577436,0.864050715349186
"1401","pinionndz",4,0,2,0.42,0.2,0,0,0,1,0,0.754610129966378,0.894674925980511
"1402","xiaomeigi",2,0,4,0.31,0.16,1,0,0,1,0,0.635122157531124,0.778749018877087
"1403","molpoo",2,0,4,0.2,0.15,0,0,0,2,0,0.653196001094209,0.796284061670045
"1404","mattsu2020",3,0,4,0.2,0.04,0,0,0,4,0,0.619843978263274,0.763926298611464
"1405","fraxinusexcelsior",9,0,2,0.25,NA,0,0,0,1,0,0.824074918370871,0.81162063623821
"1406","cryptoramzarz",3,0,4,0.04,0.11,1,0,0,1,0,0.607747540455649,0.752190468661475
"1407","alexiyko",2,0,4,0.4,0.11,0,0,0,7,0,0.626188060321162,0.770081256740809
"1408","artingvip",3,0,4,0.15,0.23,1,0,0,1,0,0.661088271984572,0.803941055452973
"1409","hyq2020888",4,0,2,0.44,0.07,0,0,0,1,0,0.700592308334029,0.842267433871845
"1410","ivomarinovic",3,0,4,0.61,0.13,0,0,0,17,0,0.668511042000927,0.811142544689325
"1411","ovrlandlord",4,0,2,0.25,0.2,1,1,0,3,0,0.681804513028649,0.824039723008062
"1412","keremsoylu",4,0,4,0.25,0.05,0,0,0,5,0,0.662456032795218,0.805268041838657
"1413","ivopivozivo",5,0,3,0.45,0.1,0,0,0,69,0,0.661825504761942,0.804656310526108
"1414","lilyheese",3,0,3,0.48,0.15,1,0,0,1,0,0.661645076740112,0.804481261258209
"1415","datudou1990",4,0,4,0.44,0.25,1,0,0,2,0,0.701393563957854,0.843044803201331
"1416","norinori2323",5,0,3,0.12,0.05,0,0,0,2,0,0.660552808177852,0.803421554399854
"1417","racouperus",4,0,3,0.14,0.08,0,1,0,11,0,0.683857124287746,0.826031143711684
"1418","roelie885",3,0,4,0.58,0.1,0,0,0,1,0,0.744775832733523,0.885133799754931
"1419","moeendoteth",4,0,3,0.67,NA,0,0,0,1,0,0.840742199398185,0.827791047641635
"1420","wang882835chen",5,0,3,0,0.18,1,0,0,1,0,0.618914676946537,0.763024700769276
"1421","umairyaseen77",5,0,2,0.1,0.16,1,0,0,1,0,0.638682215811315,0.782202947980251
"1422","vishpapneja",4,0,4,0.08,0.11,1,0,0,2,0,0.614506800972371,0.758748228332006
"1423","yermolovoleh",5,0,3,0.09,0.08,1,0,0,1,0,0.624234393461133,0.768185830797001
"1424","tertower",2,0,4,0.4,0.16,0,0,0,2,0,0.684243201452737,0.826405711499984
"1425","pavel1993rrr",5,0,3,0,0.15,1,0,0,1,0,0.611486086671413,0.755817564782346
"1426","jinghongbrisbane",6,0,4,0.2,0.2,0,0,0,4,0,0.752384851030477,0.892515985009759
"1427","svetadft1966",5,0,3,0.1,0.15,1,0,0,1,0,0.664658030696045,0.807404395807099
"1428","igorukraine26",5,0,3,0,0.23,1,0,0,1,0,0.625741840482228,0.769648339196543
"1429","paulxiiv2",4,0,4,0.18,0.25,1,0,0,2,0,0.667484736371379,0.810146834337514
"1430","kcrommen",3,0,3,0.45,0.28,0,0,0,3,0,0.703591681686168,0.845177392669388
"1431","ohg1223654",4,0,3,0.26,0.2,1,0,0,1,0,0.690051819703904,0.832041168576209
"1432","iverson200",3,0,3,0.05,0.2,1,0,0,1,0,0.605898638253457,0.750396684228061
"1433","cryptobeliever2021",6,0,4,0,0.11,0,0,0,16,0,0.617682722173828,0.761829471897064
"1434","janiecepangburn",7,0,4,0,0.2,1,0,0,3,0,0.61051410345704,0.754874557435923
"1435","ramzezqqq",4,0,3,0.38,0.2,1,0,0,3,0,0.649837711784666,0.793025886586897
"1436","imnotajoker95",4,0,4,0.35,0.21,1,0,0,1,0,0.729612118554791,0.870422132250663
"1437","graybranch77",5,0,3,0.14,0.16,1,0,0,2,0,0.642354799094368,0.785766047594578
"1438","amit10cr",3,0,4,0.26,0.36,0,0,0,15,0,0.673114866686973,0.815609124396033
"1439","pearlianster",4,0,1,0.26,0.2,1,0,0,1,0,0.630233140165412,0.774005748392088
"1440","jim3333",2,0,4,0.18,0.36,0,0,0,2,0,0.669221113570709,0.811831448259766
"1441","raeesmeer7",4,0,3,0.35,0.29,1,0,0,10,0,0.622333108930023,0.76634122560839
"1442","tsubasalayer3",5,0,2,0.18,0.28,1,0,0,2,0,0.634159874748031,0.777815422781627
"1443","wakiyamap",3,0,4,0.67,0.1,0,0,0,2,0,0.708323552065125,0.849768200888799
"1444","naiteeranai",4,0,2,0.17,NA,0,0,0,1,0,0.768254756606479,0.757464533700749
"1445","ruzhyo04",4,0,4,0.65,0.1,0,0,0,2,0,0.745284135332657,0.885626949305356
"1446","ruslan12341234",5,0,3,0.06,0.18,1,0,0,1,0,0.663129242726132,0.805921182655441
"1447","hitl3rkill3r",6,0,3,0.08,0.21,0,1,0.01,84,1,0.643679878007376,0.787051624476029
"1448","randlmac",3,0,3,0.4,0.08,0,0,0,9,0,0.612892649207184,0.75718219617188
"1449","vish843437",4,0,2,0.2,0.18,0,0,0,2,0,0.685667224764813,0.82778728314125
"1450","nuttiwut-simsiri",9,0,2,0,0.13,0,0,0,1,0,0.674170273610365,0.816633068500731
"1451","jderaneco",3,0,3,0.64,0.11,1,0,0,1,0,0.653248383423127,0.796334882425242
"1452","cynthemm09",4,0,3,0.1,0.29,0,0,0,6,0,0.666256661771182,0.808955369965687
"1453","kusane",2,0,1,0.24,0.15,0,0,0,1,0,0.612058412117003,0.756372828589122
"1454","88bitcoin",2,0,4,0.36,0.28,0,0,0,12,0,0.642019164172039,0.785440418311283
"1455","bridgitbrowser",6,0,2,0.5,NA,0,0,0,2,0,0.801377849259178,0.78960019123662
"1456","artstylepush",4,0,2,0.19,NA,0,0,0,1,0,0.772683973529463,0.761761710890135
"1457","urbangarifuna",4,0,2,0.2,0.18,1,0,0,1,0,0.645090320715659,0.788420020365947
"1458","camsoulsby",4,0,3,0.17,0.11,0,0,0,3,0,0.672688047710601,0.815195029353692
"1459","koelpinwillis",5,0,4,0,0.18,0.92,0,0,5,0,0.631139160447074,0.774884759231967
"1460","shingo0620",3,0,1,0.22,0.13,0,0,0,2,0,0.610339495693979,0.754705154918602
"1461","grljackie",3,0,2,0.14,0.13,0,0,0,1,0,0.660890383186436,0.803749065933342
"1462","bombionthemic",5,0,1,0.5,0.03,1,0,0,1,0,0.605692989110296,0.75019716570766
"1463","penguin4238",4,0,4,0.43,0.34,0,0,0,6,0,0.74732316598796,0.887605194257631
"1464","ghiogjklm520",6,0,3,0.23,0.16,1,0,0,1,0,0.709689372789514,0.85109330502429
"1465","rhoddd532",4,0,1,0.25,0.15,1,0,0,1,0,0.617690482518853,0.761837000897833
"1466","matthewmonahan",4,0,4,0.67,NA,0,0,0,18,0,0.770648823046673,0.759787230438244
"1467","tiltletiltle",5,0,2,0.15,0.21,0,0,0,5,0,0.670753781713135,0.813318425911809
"1468","0xjasons",2,0,3,0.33,0.15,1,0,0,1,0,0.607219836993953,0.751678496609126
"1469","marky257",3,0,3,0.43,0.21,0,0,0,2,0,0.712331770270506,0.853656929786421
"1470","trewkat",3,0,4,0.14,0.08,0,0,0,1,0,0.684476011803485,0.826631581523079
"1471","101eren",3,0,4,0.05,0.13,1,0,0,1,0,0.616749540684579,0.76092410955449
"1472","simonnguyen85",4,0,3,0.2,0.1,0,0,0,15,0,0.625695278412078,0.769603165191924
"1473","ssiiki",2,0,4,0.27,0.1,0,0,0,1,0,0.678717835794979,0.821045062951858
"1474","spencerrichardhenry",8,0,3,0.53,NA,0,0,0,1,0,0.879070543476363,0.864976782443876
"1475","thewanderer1983",5,0,3,0.38,NA,0,0,0,1,0,0.85243703935077,0.839137251801784
"1476","highplains66",5,0,4,0,NA,0,0,0,1,0,0.776269252930985,0.765240109245801
"1477","nicolajhedeager",6,0,4,0.33,0.13,0,0,0,1,0,0.820084160941795,0.958197105475654
"1478","starshinovbash",5,0,3,0,0.15,1,0,0,1,0,0.611486086671413,0.755817564782346
"1479","engine417815",5,0,3,0,0.15,0,0,0,1,0,0.69005375979016,0.832043050826402
"1480","dendisuryadi922",6,0,3,0,0.08,0,0,0,1,0,0.662275604773388,0.805092992570759
"1481","btcallvictor",4,0,3,0.47,0.25,1,0,0,3,0,0.660913664221511,0.803771652935652
"1482","axieak",2,0,4,0.44,0.29,0,0,0,5,0,0.670375464893169,0.812951387124279
"1483","burleebau",4,0,4,0.55,0.29,0,1,0.13,70,9,0.659221909006074,0.802130330767826
"1484","palamarchuko",4,0,3,0.25,0.1,1,0,0,1,0,0.651843760973613,0.794972133285901
"1485","termik1985",4,0,2,0.25,NA,0,0,0,1,0,0.785837758346736,0.774523367195014
"1486","frkbjk03",3,0,2,0.41,0.13,0,0,0,5,0,0.632475879877619,0.776181629614572
"1487","febrio0213",4,0,3,0,0.08,0,0,0,1,0,0.630539673793897,0.774303143922496
"1488","dhiradwipramesi",7,0,3,0,0.06,0,0,0,1,0,0.657631038275962,0.800586885610009
"1489","afrizal-gamming",5,0,3,0,0.26,0,0,0,1,0,0.706819985216543,0.848309456989642
"1490","johngvibes",4,0,3,0.17,0.16,1,0,0,1,0,0.664828758286593,0.807570033824036
"1491","maxmundt",3,0,2,0.45,0.11,0,0,0,7,0,0.61710457646947,0.76126856133971
"1492","enrbh",2,0,4,0.55,0.16,0,0,0,2,0,0.691444801635881,0.833392624214396
"1493","halukkarakas1",5,0,2,0.08,0.15,1,0,0,1,0,0.630386406979654,0.774154446157292
"1494","adammaulana2",3,0,3,0,0.18,0,0,0,1,0,0.639120675305224,0.782628336523747
"1495","venomine00",3,0,2,0.09,0.2,0,0,0,2,0,0.624895962874509,0.76882767811263
"1496","breakbadnoodles",6,0,3,0,0.21,1,0,0,1,0,0.634493569584104,0.77813916981473
"1497","smallnash",3,0,3,0.3,0.29,0,0,0,17,0,0.647724957851626,0.790976116127308
"1498","panjiprsty",4,0,3,0,0.26,0,0,0,1,0,0.685707966576194,0.827826810395291
"1499","putribritney",5,0,3,0,0.21,0,0,0,8,0,0.62047450629655,0.764538029924014
"1500","alborzap",3,0,4,0.17,0.15,1,0,0,2,0,0.611914845734041,0.75623354207488
"1501","ctrl-siberkaptan",8,0,0,0.41,0.18,0,0,0,3,0,0.673784196445374,0.816258500712432
"1502","cowbearcowbull",7,0,4,0.21,0.34,1,0,0,6,0,0.679588934524029,0.821890193288272
"1503","amisansun1193",6,0,4,0.25,0.08,1,0,0,6,0,0.622915134806894,0.766905900666128
"1504","blaubirds",3,0,4,0.33,0.21,1,0,0,1,0,0.690369993849927,0.832349857607773
"1505","gratispremium04",7,0,3,0,0.21,0,0,0,1,0,0.71817336998803,0.859324385115918
"1506","wglas0002",4,0,3,0,0.21,0,0,0,1,0,0.681325311723359,0.823574807210524
"1507","grlkrash",2,0,3,0.38,0.16,1,1,0,4,0,0.630815166042282,0.774570423449826
"1508","ainurcyber123",6,0,3,0,0.11,0,0,0,1,0,0.687368680411531,0.829438016560037
"1509","bluegene-mads",5,0,2,0.07,0.11,0,0,0,3,0,0.639757023597269,0.783245714586874
"1510","clubken2",2,0,3,0.15,0.29,0,0,0,1,0,0.673145908067073,0.815639240399112
"1511","ameliawb",2,0,2,0.14,0.1,0,1,0,1,0,0.673890901189467,0.816362024473017
